,palmOil,controversialWeapons,gambling,socialScore,nuclear,furLeather,alcoholic,gmo,catholic,socialPercentile,peerCount,governanceScore,environmentPercentile,animalTesting,tobacco,totalEsg,highestControversy,esgPerformance,coal,pesticides,adult,percentile,peerGroup,smallArms,environmentScore,governancePercentile,militaryContract,Symbol
Value,False,False,False,10.81,False,False,False,False,False,,95,5.07,,False,False,25.08,3,AVG_PERF,False,False,False,38.23,Food Products,False,9.2,,False,KO
Value,False,False,False,8.91,False,False,False,False,False,,71,7.73,,False,False,32.33,2,OUT_PERF,False,False,False,64.58,Oil & Gas Producers,False,15.69,,False,XOM
